route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
126131,ARR,28,Gendringen - Doetinchem,,3,0000ff,ffffff,
126132,ARR,29,Arnhem via Rheden - Doetinchem,,3,00becd,000000,
126134,ARR,40,Dinxperlo via Terborg - Doetinchem,,3,00becd,000000,
126136,ARR,51,Vorden - Doetinchem,,3,00becd,000000,
126138,ARR,52,Laren - Lochem,,3,00becd,000000,
126140,ARR,57,Deventer - Borculo,,3,00becd,000000,
126142,ARR,58,Zutphen - Borculo,,3,00becd,000000,
126144,ARR,72,Neede - Lichtenvoorde,,3,00becd,000000,
126146,ARR,73,Enschede - Winterswijk,,3,00becd,000000,
126148,ARR,74,Enschede - Doetinchem,,3,00becd,000000,
126150,ARR,81,Zutphen - Deventer,,3,00becd,000000,
126152,ARR,82,Zutphen - Doetinchem,,3,00becd,000000,
126154,ARR,83,Zutphen via Warnsveld - Zutphen,,3,00becd,000000,
126156,ARR,84,Zutphen via Zuidwijken - Zutphen,,3,00becd,000000,
126157,ARR,174,Varsseveld - Westendorp,,3,98c818,000000,
126158,ARR,191,Ruurlo - Aalten,,3,98c818,000000,
126159,ARR,193,Zutphen via Wichmond - Kranenburg,,3,98c818,000000,
126160,ARR,194,Zelhem via Dinxperlo - Aalten,,3,98c818,000000,
126161,ARR,195,Megchelen - Terborg,,3,98c818,000000,
126162,ARR,196,Nieuw-Dijk via Wehl - 's-Heerenberg,,3,98c818,000000,
126163,ARR,197,'s-Heerenberg - Terborg,,3,98c818,000000,
126164,ARR,198,Neede via Borculo - Groenlo,,3,98c818,000000,
126165,ARR,199,Haaksbergen via Rekken - Eibergen,,3,98c818,000000,
126167,ARR,428,Dinxperlo via Gendringen - Doetinchem,,3,0000ff,ffffff,
126169,ARR,450,Zutphen via Laren - Zutphen,,3,00becd,000000,
126171,ARR,458,Borculo via Lochem en Ruurlo - Borculo,,3,00becd,000000,
126173,ARR,480,Zutphen via Warnsveld en Zuidwijken - Zutphen,,3,00becd,000000,
126174,ARR,612,Doetinchem Station - Tweede Loolaan,,3,00becd,000000,
126175,ARR,623,Doetinchem Station - Graafschap College,,3,00becd,000000,
126176,ARR,627,Giesbeek - Doetinchem,,3,00becd,000000,
126177,ARR,628,Dinxperlo via Ulft - Doetinchem,,3,00becd,000000,
126178,ARR,651,Zutphen - Doetinchem,,3,00becd,000000,
126179,ARR,656,Doetinchem - Apeldoorn,,3,00becd,000000,
126180,ARR,697,Stokkum - Silvolde,,3,00becd,000000,
126186,ARR,858,Vorden - Borculo - Vorden,,3,00becd,000000,
126513,ARR,1,Malberg via MUMC - De Heeg,,3,ff00ff,000000,
126514,ARR,2,Oud Caberg via Heer - De Heeg,,3,800080,ffffff,
126515,ARR,3,Wolder via Koningsplein - Nazareth/P+R Noord,,3,339966,000000,
126516,ARR,4,Pottenberg/Caberg via Scharn - Valkenburg,,3,ffcc00,000000,
126517,ARR,5,Daalhof via MUMC - Heugem,,3,0000ff,ffffff,
126518,ARR,6,Daalhof via De Geusselt - Amby,,3,00ffff,000000,
126519,ARR,7,MUMC/MECC via Sibemaweg - Caberg/Pottenberg,,3,ffff00,000000,
126520,ARR,8,Maastricht via Bemelen - Valkenburg,,3,7570b3,000000,
126521,ARR,9,Maastricht Kon Emmaplein via Borgharen - Bunde,,3,99cc00,000000,
126523,ARR,11,Maastricht Station via Centrum - Station.,,3,c6a572,000000,
126524,ARR,12,Maastricht Boschpoort - Villapark,,3,007446,ffffff,
126525,ARR,13,Maastricht Station - Kanne (B),,3,524fa2,ffffff,
126526,ARR,15,Daalhof via Station en MUMC - Eijsden,,3,00a886,000000,
126527,ARR,16,Sittard via Born - Obbicht,,3,00becd,000000,
126528,ARR,17,Sittard via NedCar/Holtum en Born - Sittard.,,3,00becd,000000,
126529,ARR,18,Sittard via Born en Holtum/NedCar - Sittard.,,3,00becd,000000,
126530,ARR,27,Kerkrade Parkstad Stadion - Herzogenrath,,3,00becd,000000,
126531,ARR,28,Nuth - Voerendaal,,3,00becd,000000,
126532,ARR,30,Maastricht via MA Airport - Sittard,,3,00becd,000000,
126533,ARR,32,Sittard via Stein / Beek en Geleen - Sittard.,,3,00becd,000000,
126534,ARR,33,Sittard via Geleen en Beek / Stein - Sittard.,,3,00becd,000000,
126535,ARR,35,Sittard via Susteren - Maaseik,,3,00becd,000000,
126536,ARR,36,Sittard via Schinveld - Brunssum,,3,00becd,000000,
126537,ARR,37,Sittard via Merkelbeek - Brunssum,,3,00becd,000000,
126538,ARR,39,Urmond via Berg a/d Maas - Sittard,,3,00becd,000000,
126539,ARR,40,Heerlen via Hoensbroek - Sittard,,3,00becd,000000,
126540,ARR,43,Heerlen via Simpelveld - Vaals,,3,00becd,000000,
126541,ARR,44,Heerlen via Parkstad Stadion - Aachen,,3,00becd,000000,
126542,ARR,47,Gulpen via Simpelveld - Parkstad Stadion,,3,00becd,000000,
126543,ARR,51,Valkenburg via Sibbe - Margraten,,3,00becd,000000,
126544,ARR,52,Heerlen via Hulsberg - Meerssen,,3,00becd,000000,
126545,ARR,53,Hoensbroek via Schinnen - Geleen,,3,00becd,000000,
126546,ARR,54,Gulpen via Valkenburg - Geleen,,3,00becd,000000,
126547,ARR,55,Gulpen via Ubachsberg - Heerlen,,3,00becd,000000,
126548,ARR,56,Valkenburg via Hoensbroek - Brunssum,,3,00becd,000000,
126549,ARR,57,Maastricht via Epen - Gulpen,,3,00becd,000000,
126550,ARR,59,Mamelis via Vijlen - Vaals,,3,00becd,000000,
126551,ARR,149,Gulpen via Epen en Drielandenpunt - Vaals,,3,ff8000,000000,
126552,ARR,1,Hoensbroek via Heerlen - Bleijerheide,,3,ff00ff,000000,
126553,ARR,2,Brunssum/Hoensbroek via Heerlen - Bleijerheide,,3,800080,ffffff,
126554,ARR,3,Schinveld via Brunssum - Heerlen,,3,339966,000000,
126555,ARR,4,Hoensbroek via Heerlen - Parkstad Stadion,,3,ffcc00,000000,
126556,ARR,5,Heerlen via Landgraaf - Parkstad Stadion,,3,0000ff,ffffff,
126557,ARR,6,Kerkrade via Eygelshoven - Heerlen,,3,00ffff,000000,
126558,ARR,7,Ubach over Worms via Heerlen - Zuyderland MC,,3,ffff00,000000,
126559,ARR,8,Ubach over Worms - Heerlen,,3,7570b3,000000,
126560,ARR,9,Kerkrade via Luckerheide - Landgraaf Station,,3,99cc00,000000,
126562,ARR,321,Heerlen via Neerbeek - Beek,,3,00becd,000000,
126563,ARR,322,Vaals - via Heerlen en Chemelot - Beek,,3,00becd,000000,
126564,ARR,332,Sittard via Chemelot - Beek,,3,00becd,000000,
126565,ARR,337,Brunssum via Sportzone - Chemelot,,3,00becd,000000,
126566,ARR,340,Hoensbroek via Sportzone - Chemelot,,3,00becd,000000,
126567,ARR,350,Maastricht via Gulpen - Aachen,,3,0000ff,ffffff,
126568,ARR,1,Sittard Station via Baandert - Kemperkoul,,3,ff00ff,000000,
126569,ARR,2,Sittard Station via Stadhuis - Kemperkoul,,3,800080,ffffff,
126570,ARR,3,Sittard via Lindenheuvel - Geleen,,3,339966,000000,
126571,ARR,4,Sittard via Munstergeleen - Geleen,,3,ffcc00,000000,
126591,ARR,723,Landgraaf Station - Ubach Palenberg,,3,00becd,000000,
126592,ARR,791,Meerssen via Valkenburg - Eijsden,,3,00becd,000000,
126593,ARR,797,Beek-Elsloo via Geulle - Meerssen,,3,00becd,000000,
126594,ARR,SB3,Geilenkirchen - Sittard,,3,00becd,000000,
126790,ARR,811,Vlinder Venlo,,3,00becd,000000,
126791,ARR,881,Vlinder Venray,,3,00becd,000000,
126813,ARR,805,Vlinder Sittard Kemperkoul,,3,00becd,000000,
126814,ARR,42,Tiel - Druten,,3,00becd,000000,
126815,ARR,44,Tiel via Maurik - Wageningen,,3,00becd,000000,
126816,ARR,45,Tiel via Ochten - Wageningen,,3,00becd,000000,
126817,ARR,46,Tiel - Culemborg,,3,00becd,000000,
126818,ARR,47,Geldermalsen - Gorinchem,,3,00becd,000000,
126819,ARR,49,Zaltbommel - Brakel,,3,00becd,000000,
126820,ARR,67,Kerkdriel - Zaltbommel,,3,00becd,000000,
126821,ARR,68,Zaltbommel - Poederoijen,,3,00becd,000000,
126822,ARR,85,Druten - Nijmegen,,3,00becd,000000,
126823,ARR,146,Culemborg - Vianen,,3,00becd,000000,
126824,ARR,165,Druten - 's-Hertogenbosch,,3,00becd,000000,
126825,ARR,166,Well - 's-Hertogenbosch,,3,00becd,000000,
126826,ARR,237,Heteren - Kesteren,,3,98c818,000000,
126827,ARR,244,Tiel - Zoelen,,3,98c818,000000,
126828,ARR,245,Tiel Station - Tiel Oost,,3,98c818,000000,
126829,ARR,248,Tiel - Zaltbommel,,3,98c818,000000,
126830,ARR,260,Geldermalsen - Leerdam,,3,98c818,000000,
126831,ARR,261,Geldermalsen via Est - Geldermalsen,,3,800080,ffffff,
126832,ARR,262,Geldermalsen - Tricht,,3,98c818,000000,
126833,ARR,263,Maurik - Beusichem,,3,98c818,000000,
126834,ARR,265,Beneden-Leeuwen - Dreumel,,3,98c818,000000,
126835,ARR,266,Zaltbommel - Wijk en Aalburg,,3,98c818,000000,
126836,ARR,267,Hedel - Zaltbommel,,3,98c818,000000,
126837,ARR,268,Zaltbommel - Giessen,,3,98c818,000000,
126839,ARR,543,Tiel - Geldermalsen,,3,0000a0,ffffff,
126852,ARR,673,Leerdam - Gorinchem,,3,00becd,000000,
126853,ARR,840,Tiel - Maurik,,3,ff6e1d,000000,
126854,ARR,860,Vlinder Bommelerwaard,,3,ff6e1d,000000,
126856,ARR,850,Vlinder Gorssel-Laren,,3,ff6e1d,000000,
126857,ARR,852,Vlinder Lochem-Laren,,3,ff6e1d,000000,
127418,ARR,672,Roermond - Panningen,,3,00becd,000000,
127419,ARR,674,Ospel - Weert,,3,00becd,000000,
127420,ARR,679,Horst/Sevenum - Panningen,,3,00becd,000000,
127421,ARR,683,Well - Venlo,,3,00becd,000000,
127422,ARR,684,Boxmeer - Gennep,,3,00becd,000000,
127423,ARR,687,Venlo - Horst,,3,00becd,000000,
127426,ARR,601,Zuyd Hogeschool via Heerlerbaan/Station - Kerkrade,,3,00becd,000000,
127427,ARR,603,Brunssum via Heerlen - Parkstad Stadion,,3,00becd,000000,
127428,ARR,606,Kerkrade via Eygelshoven - Zuyd Hogeschool,,3,00becd,000000,
127429,ARR,615,Maastricht - MUMC,,3,00becd,000000,
127430,ARR,616,Sittard via Born - Obbicht,,3,00becd,000000,
127431,ARR,617,Sittard via NedCar - Holtum,,3,00becd,000000,
127432,ARR,618,Sittard via NedCar - Holtum,,3,00becd,000000,
127433,ARR,632,Sittard Station - Chemelot Campus,,3,00becd,000000,
127434,ARR,637,Sittard Sportzone - Brunssum,,3,00becd,000000,
127435,ARR,639,Urmond via Berg a/d Maas - Sittard,,3,00becd,000000,
127436,ARR,640,Sittard Station - Sittard Sportzone,,3,00becd,000000,
127437,ARR,643,Heerlen via Parkstad Stadion - Vaals,,3,00becd,000000,
127438,ARR,647,Gulpen via Simpelveld - Parkstad Stadion,,3,00becd,000000,
127439,ARR,650,Bocholtz via Gulpen - Maastricht Centrum,,3,00becd,000000,
127440,ARR,652,Heerlen via Zuyd Hogeschool - Voerendaal,,3,00becd,000000,
127441,ARR,655,Gulpen via Ubachsberg - Heerlen,,3,00becd,000000,
127442,ARR,657,Mheer via Banholt - Gulpen,,3,00becd,000000,
127443,ARR,658,Gulpen - Heerlen,,3,00becd,000000,
127444,ARR,659,Maastricht via Gulpen - Vaals,,3,00becd,000000,
127445,ARR,626,Hedel - Gorinchem,,3,00becd,000000,
127446,ARR,641,Lienden/Eck en Wiel - Culemborg,,3,00becd,000000,
127447,ARR,647,Enspijk via Geldermalsen - Gorinchem,,3,00becd,000000,
127448,ARR,648,Zaltbommel - Tiel,,3,00becd,000000,
127449,ARR,649,Brakel - Zaltbommel,,3,00becd,000000,
127450,ARR,650,Leerdam - Culemborg,,3,00becd,000000,
127451,ARR,660,Asperen - Leerdam,,3,00becd,000000,
127452,ARR,664,Zaltbommel - Heerewaarden,,3,00becd,000000,
127453,ARR,665,Dreumel - 's-Hertogenbosch,,3,00becd,000000,
127454,ARR,667,Kerkdriel - Zaltbommel,,3,00becd,000000,
127455,ARR,668,Velddriel - Andel,,3,00becd,000000,
127456,ARR,669,Zaltbommel - Wijk en Aalburg,,3,00becd,000000,
127515,ARR,10,P+R Noord via Centrum - Heer,,3,e00000,ffffff,
127516,ARR,10,Heerlen via Parkstad Stadion - Avantis,,3,e00000,ffffff,
127483,BN,823,Lijn 823 TVV Zwolle - Enschede,,3,,,
125971,BRAVO:ARR,82,Boxmeer - Venray Centrum,,3,00becd,000000,
126693,BRAVO:ARR,1,Hoge Vucht via CS - Nieuw Wolfslaar/Bavel,,3,34a945,000000,
126694,BRAVO:ARR,2,Hoge Vucht via CS - Haagse Beemden,,3,97cb64,000000,
126695,BRAVO:ARR,4,Princenhage via CS - Haagse Beemden,,3,f68a33,000000,
126696,BRAVO:ARR,5,Centraal Station - Heusdenhout,,3,953192,ffffff,
126697,BRAVO:ARR,6,Centraal Station - Galder/Meersel Dreef,,3,a87bb6,000000,
126698,BRAVO:ARR,7,Nieuw Wolfslaar via CS - Heusdenhout,,3,fdb515,000000,
126699,BRAVO:ARR,8,Centraal Station - BUas/Ignatiusstraat,,3,7670b3,000000,
126700,BRAVO:ARR,9,Centraal Station - Avans/Loevesteinstraat,,3,409599,000000,
126701,BRAVO:ARR,12,Bravis Ziekenhuis - Bergen op Zoom,,3,96ca4f,000000,
126702,BRAVO:ARR,25,Station - Bergse Plaat,,3,953192,ffffff,
126703,BRAVO:ARR,1,Tolberg West - Kortendijk,,3,006768,ffffff,
126704,BRAVO:ARR,2,Langdonk - Tolberg Oost,,3,409599,000000,
126705,BRAVO:ARR,3,Kortendijk - Kroeven,,3,f68a33,000000,
126706,BRAVO:ARR,4,Station - WVS,,3,006fba,ffffff,
126707,BRAVO:ARR,103,Willemstad via Oud Gastel - Roosendaal,,3,ee4a9a,000000,
126708,BRAVO:ARR,104,Hoogerheide - Roosendaal,,3,fdb515,000000,
126709,BRAVO:ARR,105,Bergen op Zoom - Ossendrecht,,3,00bbf2,000000,
126710,BRAVO:ARR,106,Bergen op Zoom - Putte,,3,d71920,ffffff,
126711,BRAVO:ARR,110,Dinteloord via Bergen op Zoom - Ossendrecht,,3,006fba,ffffff,
126712,BRAVO:ARR,111,Steenbergen via Dinteloord - Roosendaal,,3,f9e63d,000000,
126713,BRAVO:ARR,112,Roosendaal via Heerle - Bergen op Zoom,,3,96ca4f,000000,
126714,BRAVO:ARR,115,Breda - Zundert,,3,d71920,ffffff,
126715,BRAVO:ARR,117,Breda via Zevenbergen - Fijnaart,,3,00757a,ffffff,
126716,BRAVO:ARR,119,Breda via Prinsenbeek - Zevenbergen,,3,d71920,ffffff,
126717,BRAVO:ARR,120,Werkendam - Gorinchem,,3,fff200,000000,
126718,BRAVO:ARR,121,'s-Hertogenbosch - Gorinchem,,3,ec008c,000000,
126719,BRAVO:ARR,122,Breda - Lage Zwaluwe,,3,00bcf2,000000,
126720,BRAVO:ARR,123,Breda via Made - Raamsdonksveer,,3,ee4a9a,000000,
126721,BRAVO:ARR,130,Breda via Rijen - Gilze,,3,0069ac,ffffff,
126722,BRAVO:ARR,132,Breda - Baarle-Nassau,,3,00757a,ffffff,
126723,BRAVO:ARR,134,Raamsdonksveer - Waalwijk,,3,,,
126724,BRAVO:ARR,200,Dinteloord via Heijningen - Fijnaart,,3,953192,ffffff,
126725,BRAVO:ARR,210,Klundert - Oudenbosch,,3,953192,ffffff,
126726,BRAVO:ARR,211,Nispen via Roosendaal - Oudenbosch,,3,953192,ffffff,
126727,BRAVO:ARR,212,Steenbergen via Moerstraten - Wouw,,3,953192,ffffff,
126728,BRAVO:ARR,213,Oud Gastel via Kruisland - Steenbergen,,3,953192,ffffff,
126729,BRAVO:ARR,214,Anna Jacobapolder - Steenbergen,,3,953192,ffffff,
126730,BRAVO:ARR,215,Grauwe Polder via Centrum - Leur,,3,953192,ffffff,
126731,BRAVO:ARR,216,Prinsenbeek - Etten-Leur,,3,953192,ffffff,
126732,BRAVO:ARR,218,Zevenbergschen Hoek - Zevenbergen,,3,953192,ffffff,
126733,BRAVO:ARR,219,Zevenbergen - Etten-Leur,,3,953192,ffffff,
126734,BRAVO:ARR,220,Klein Zundert via Achtmaal - Roosendaal,,3,953192,ffffff,
126735,BRAVO:ARR,221,Almkerk via Giessen en Sleeuwijk - Almkerk,,3,953192,ffffff,
126736,BRAVO:ARR,223,Almkerk - Waalwijk,,3,953192,ffffff,
126737,BRAVO:ARR,224,Drimmelen via Made - Oosterhout,,3,953192,ffffff,
126738,BRAVO:ARR,225,Zundert - Etten-Leur,,3,953192,ffffff,
126739,BRAVO:ARR,226,Buurstede/Den Hout - Centrum,,3,953192,ffffff,
126740,BRAVO:ARR,227,Hank via Wijk en Aalburg - Waalwijk,,3,953192,ffffff,
126741,BRAVO:ARR,228,Almkerk - Wijk en Aalburg Kromme Nol,,3,953192,ffffff,
126742,BRAVO:ARR,229,Almkerk - Raamsdonksveer,,3,953192,ffffff,
126743,BRAVO:ARR,230,Rijen via Oosterhout - 's Gravenmoer,,3,953192,ffffff,
126744,BRAVO:ARR,231,Waalwijk via 's-Gravenmoer - Rijen,,3,953192,ffffff,
126745,BRAVO:ARR,233,Waalwijk - Wijk en Aalburg Kromme Nol,,3,953192,ffffff,
126754,BRAVO:ARR,400,Oosterhout - Utrecht,,3,009da5,000000,
126755,BRAVO:ARR,401,Breda - Utrecht,,3,009da5,000000,
126756,BRAVO:ARR,402,Breda - Gorinchem,,3,009da5,000000,
126778,BRAVO:ARR,850,Breda via Princenhage - Etten-Leur,,3,0000ff,ffffff,
126779,BRAVO:ARR,851,Breda via Prinsenbeek - Etten-Leur,,3,0000ff,ffffff,
126780,BRAVO:ARR,852,Breda via Hoge Vucht - Made,,3,0000ff,ffffff,
126781,BRAVO:ARR,854,Breda - Oosterhout,,3,0000ff,ffffff,
126782,BRAVO:ARR,855,Breda via Effen en Rijsbergen - Zundert,,3,0000ff,ffffff,
127310,BRAVO:ARR,90,Oss - 's-Hertogenbosch,,3,,,
127311,BRAVO:ARR,91,Uden - Cuijk,,3,,,
127312,BRAVO:ARR,92,Grave - Cuijk,,3,,,
127313,BRAVO:ARR,96,Grave - Oss,,3,,,
127314,BRAVO:ARR,99,Nijmegen - Uden,,3,,,
127315,BRAVO:ARR,131,Tilburg - Gilze,,3,,,
127316,BRAVO:ARR,135,Wijk en Aalburg - 's-Hertogenbosch,,3,0000ff,ffffff,
127317,BRAVO:ARR,136,Tilburg  via Waalwijk - 's-Hertogenbosch,,3,,,
127318,BRAVO:ARR,137,Tilburg - Baarle-Nassau,,3,0000ff,ffffff,
127319,BRAVO:ARR,140,Tilburg  via Oisterwijk - 's-Hertogenbosch,,3,,,
127320,BRAVO:ARR,141,Tilburg  via Moergestel - Best,,3,,,
127321,BRAVO:ARR,142,Tilburg  via Hilvarenbeek - Best,,3,,,
127322,BRAVO:ARR,143,Tilburg via Hilvarenbeek - Reusel,,3,,,
127323,BRAVO:ARR,154,'s-Hertogenbosch - Eindhoven,,3,,,
127324,BRAVO:ARR,156,'s-Hertogenbosch - Eindhoven,,3,,,
127325,BRAVO:ARR,157,Oss - Eindhoven,,3,,,
127326,BRAVO:ARR,158,Veghel - 's-Hertogenbosch,,3,,,
127327,BRAVO:ARR,203,Liempde - 's-Hertogenbosch,,3,,,
127328,BRAVO:ARR,204,Best - Schijndel,,3,,,
127329,BRAVO:ARR,207,'s-Hertogenbosch - Cromvoirt,,3,,,
127330,BRAVO:ARR,238,Grave - Boxmeer,,3,,,
127331,BRAVO:ARR,239,Oisterwijk via Cromvoirt - 's-Hertogenbosch,,3,,,
127332,BRAVO:ARR,242,Hilvarenbeek via Diessen - Middelbeers,,3,,,
127333,BRAVO:ARR,250,Bokhoven - 's-Hertogenbosch CS,,3,,,
127334,BRAVO:ARR,251,Rosmalen - Uden,,3,,,
127335,BRAVO:ARR,253,Boerdonk - Veghel,,3,,,
127336,BRAVO:ARR,254,Schaijk - Uden,,3,,,
127337,BRAVO:ARR,255,Boxmeer - Venray,,3,,,
127338,BRAVO:ARR,256,Veghel - Venhorst,,3,,,
127339,BRAVO:ARR,262,Maren Kessel - Oss,,3,,,
127340,BRAVO:ARR,289,Hilvarenbeek via Moergestel - Oisterwijk,,3,,,
127341,BRAVO:ARR,292,Sint Anthonis - Boxmeer,,3,,,
127342,BRAVO:ARR,293,Hilvarenbeek via Diessen - Bladel,,3,,,
127343,BRAVO:ARR,294,Oss - Ravenstein,,3,,,
127344,BRAVO:ARR,295,Hilvarenbeek - Goirle,,3,,,
127345,BRAVO:ARR,296,Oss - Megen,,3,,,
127346,BRAVO:ARR,299,Oirschot - Sint Michielsgestel,,3,,,
127347,BRAVO:ARR,300,Tilburg via Waalwijk - 's-Hertogenbosch,,3,,,
127348,BRAVO:ARR,301,Tilburg via Waalwijk - 's-Hertogenbosch,,3,,,
127349,BRAVO:ARR,305,Oss via Uden - Eindhoven,,3,0080ff,000000,
127350,BRAVO:ARR,306,Uden - 's-Hertogenbosch,,3,004080,ffffff,
127351,BRAVO:ARR,601,Centraal Station - Stappegoor,,3,,,
127352,BRAVO:ARR,602,Waalwijk - Tilburg Stappegoor,,3,,,
127353,BRAVO:ARR,605,Uden - Eindhoven,,3,,,
127354,BRAVO:ARR,637,Baarle-Nassau - Tilburg,,3,0000ff,ffffff,
127355,BRAVO:ARR,638,Grave - Cuijk,,3,,,
127356,BRAVO:ARR,639,Udenhout - 's-Hertogenbosch,,3,,,
127357,BRAVO:ARR,643,Boxtel - 's-Hertogenbosch,,3,,,
127358,BRAVO:ARR,644,Boxtel - Veghel,,3,,,
127359,BRAVO:ARR,655,Veghel - Gemert,,3,,,
127360,BRAVO:ARR,662,Maren-Kessel - Oss,,3,,,
127361,BRAVO:ARR,690,Grave via Heesch - Den Bosch,,3,,,
127362,BRAVO:ARR,692,Wilbertoord - Boxmeer,,3,,,
127363,BRAVO:ARR,1,Centraal Station - De Aawijk,,3,0080ff,000000,
127364,BRAVO:ARR,2,Hambaken - Centraal Station,,3,800080,ffffff,
127365,BRAVO:ARR,3,Rosmalen - Centraal Station,,3,800000,ffffff,
